cell_id,lat,lon,elevation_m,slope_deg,rain_1h,rain_3h,rain_6h,rain_24h,rain_72h,rain_intensity,rain_acceleration,soil_moisture_surface,soil_saturation_index,antecedent_rain_48h,flood_event
1,26.5,91.49,58.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306,0.638,0.0,0
1,26.5,91.49,58.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.296,0.617,0.0,0
1,26.5,91.49,58.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.604,0.0,0
1,26.5,91.49,58.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.596,0.0,0
1,26.5,91.49,58.0,2.8,0.6,1.32,1.98,1.4,2.52,0.6,0.16,0.476,0.991,0.54,0
1,26.5,91.49,58.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.947,0.0,0
1,26.5,91.49,58.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.439,0.914,0.0,0
1,26.5,91.49,58.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.426,0.888,0.0,0
1,26.5,91.49,58.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414,0.862,0.0,0
1,26.5,91.49,58.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.404,0.841,0.0,0
1,26.5,91.49,58.0,2.8,0.1,0.22,0.33,0.2,0.36,0.1,0.03,0.394,0.821,0.03,0
1,26.5,91.49,58.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.386,0.803,0.0,0
1,26.5,91.49,58.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.781,0.0,0
1,26.5,91.49,58.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.362,0.754,0.0,0
2,26.5,91.58,66.0,3.6,1.6,3.52,5.28,5.6,10.08,1.6,0.43,0.5,1.0,4.8,1
2,26.5,91.58,66.0,3.6,9.7,21.34,32.01,80.8,145.44,9.7,2.59,0.514,1.0,113.43,1
2,26.5,91.58,66.0,3.6,13.1,28.82,43.23,50.5,90.9,13.1,3.49,0.509,1.0,47.67,1
2,26.5,91.58,66.0,3.6,9.2,20.24,30.36,60.1,108.18,9.2,2.45,0.512,1.0,77.82,1
2,26.5,91.58,66.0,3.6,3.4,7.48,11.22,12.7,22.86,3.4,0.91,0.505,1.0,11.64,1
2,26.5,91.58,66.0,3.6,7.6,16.72,25.08,68.5,123.3,7.6,2.03,0.507,1.0,98.22,1
2,26.5,91.58,66.0,3.6,10.1,22.22,33.33,40.2,72.36,10.1,2.69,0.505,1.0,39.03,1
2,26.5,91.58,66.0,3.6,6.5,14.3,21.45,30.6,55.08,6.5,1.73,0.51,1.0,33.63,1
2,26.5,91.58,66.0,3.6,1.6,3.52,5.28,6.1,10.98,1.6,0.43,0.497,1.0,5.7,1
2,26.5,91.58,66.0,3.6,0.8,1.76,2.64,2.1,3.78,0.8,0.21,0.482,1.0,1.14,1
2,26.5,91.58,66.0,3.6,3.6,7.92,11.88,9.3,16.74,3.6,0.96,0.495,1.0,4.86,1
2,26.5,91.58,66.0,3.6,9.2,20.24,30.36,68.4,123.12,9.2,2.45,0.507,1.0,92.76,1
2,26.5,91.58,66.0,3.6,22.5,49.5,74.25,86.8,156.24,22.5,6.0,0.507,1.0,81.99,1
2,26.5,91.58,66.0,3.6,10.3,22.66,33.99,44.7,80.46,10.3,2.75,0.505,1.0,46.47,1
2,26.5,91.58,66.0,3.6,18.8,41.36,62.04,66.7,120.06,18.8,5.01,0.509,1.0,58.02,1
2,26.5,91.58,66.0,3.6,7.4,16.28,24.42,26.4,47.52,7.4,1.97,0.502,1.0,23.1,1
2,26.5,91.58,66.0,3.6,2.7,5.94,8.91,9.5,17.1,2.7,0.72,0.501,1.0,8.19,1
2,26.5,91.58,66.0,3.6,13.8,30.36,45.54,47.3,85.14,13.8,3.68,0.508,1.0,39.6,1
2,26.5,91.58,66.0,3.6,14.3,31.46,47.19,109.3,196.74,14.3,3.81,0.513,1.0,149.55,1
2,26.5,91.58,66.0,3.6,17.3,38.06,57.09,101.0,181.8,17.3,4.61,0.513,1.0,124.71,1
2,26.5,91.58,66.0,3.6,12.4,27.28,40.92,107.1,192.78,12.4,3.31,0.515,1.0,151.86,1
2,26.5,91.58,66.0,3.6,10.2,22.44,33.66,105.0,189.0,10.2,2.72,0.51,1.0,155.34,1
2,26.5,91.58,66.0,3.6,12.5,27.5,41.25,51.2,92.16,12.5,3.33,0.508,1.0,50.91,1
2,26.5,91.58,66.0,3.6,9.3,20.46,30.69,58.2,104.76,9.3,2.48,0.511,1.0,74.07,1
2,26.5,91.58,66.0,3.6,5.5,12.1,18.15,24.7,44.46,5.5,1.47,0.501,1.0,26.31,1
2,26.5,91.58,66.0,3.6,3.4,7.48,11.22,8.6,15.48,3.4,0.91,0.5,1.0,4.26,1
2,26.5,91.58,66.0,3.6,1.1,2.42,3.63,2.1,3.78,1.1,0.29,0.471,0.981,0.15,1
2,26.5,91.58,66.0,3.6,6.6,14.52,21.78,24.1,43.38,6.6,1.76,0.498,1.0,21.6,1
2,26.5,91.58,66.0,3.6,23.5,51.7,77.55,159.6,287.28,23.5,6.27,0.514,1.0,209.73,1
2,26.5,91.58,66.0,3.6,8.5,18.7,28.05,75.5,135.9,8.5,2.27,0.512,1.0,107.85,1
2,26.5,91.58,66.0,3.6,18.6,40.92,61.38,176.0,316.8,18.6,4.96,0.514,1.0,255.42,1
2,26.5,91.58,66.0,3.6,33.5,73.7,110.55,181.5,326.7,33.5,8.93,0.513,1.0,216.15,1
2,26.5,91.58,66.0,3.6,8.2,18.04,27.06,42.1,75.78,8.2,2.19,0.51,1.0,48.72,1
2,26.5,91.58,66.0,3.6,10.1,22.22,33.33,15.1,27.18,10.1,2.69,0.498,1.0,0.0,1
2,26.5,91.58,66.0,3.6,1.8,3.96,5.94,6.4,11.52,1.8,0.48,0.502,1.0,5.58,1
2,26.5,91.58,66.0,3.6,0.9,1.98,2.97,1.9,3.42,0.9,0.24,0.486,1.0,0.45,1
2,26.5,91.58,66.0,3.6,0.5,1.1,1.65,1.3,2.34,0.5,0.13,0.47,0.98,0.69,1
2,26.5,91.58,66.0,3.6,0.1,0.22,0.33,0.4,0.72,0.1,0.03,0.449,0.936,0.39,1
2,26.5,91.58,66.0,3.6,0.4,0.88,1.32,0.8,1.44,0.4,0.11,0.431,0.899,0.12,1
2,26.5,91.58,66.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.413,0.86,0.0,1
2,26.5,91.58,66.0,3.6,0.7,1.54,2.31,1.9,3.42,0.7,0.19,0.398,0.828,1.11,1
2,26.5,91.58,66.0,3.6,3.6,7.92,11.88,19.3,34.74,3.6,0.96,0.45,0.938,22.86,1
2,26.5,91.58,66.0,3.6,3.2,7.04,10.56,17.9,32.22,3.2,0.85,0.497,1.0,21.66,1
2,26.5,91.58,66.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.362,0.755,0.0,0
2,26.5,91.58,66.0,3.6,0.9,1.98,2.97,2.3,4.14,0.9,0.24,0.361,0.751,1.17,0
2,26.5,91.58,66.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342,0.713,0.0,0
2,26.5,91.58,66.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335,0.697,0.0,0
2,26.5,91.58,66.0,3.6,0.1,0.22,0.33,0.1,0.18,0.1,0.03,0.329,0.685,0.0,0
2,26.5,91.58,66.0,3.6,2.3,5.06,7.59,2.5,4.5,2.3,0.61,0.344,0.716,0.0,0
2,26.5,91.58,66.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.321,0.668,0.0,0
2,26.5,91.58,66.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.309,0.643,0.0,0
2,26.5,91.58,66.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302,0.629,0.0,0
2,26.5,91.58,66.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.625,0.0,0
2,26.5,91.58,66.0,3.6,0.4,0.88,1.32,1.0,1.8,0.4,0.11,0.466,0.971,0.48,0
2,26.5,91.58,66.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.446,0.929,0.0,0
2,26.5,91.58,66.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.896,0.0,0
2,26.5,91.58,66.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.416,0.866,0.0,0
2,26.5,91.58,66.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.404,0.841,0.0,0
2,26.5,91.58,66.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.395,0.824,0.0,0
2,26.5,91.58,66.0,3.6,0.1,0.22,0.33,0.1,0.18,0.1,0.03,0.385,0.802,0.0,0
2,26.5,91.58,66.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.782,0.0,0
2,26.5,91.58,66.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363,0.757,0.0,0
2,26.5,91.58,66.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349,0.728,0.0,0
3,26.5,91.67,74.0,4.4,0.7,1.54,2.31,4.5,8.1,0.7,0.19,0.495,1.0,5.79,1
3,26.5,91.67,74.0,4.4,9.9,21.78,32.67,81.4,146.52,9.9,2.64,0.509,1.0,113.85,1
3,26.5,91.67,74.0,4.4,16.5,36.3,54.45,53.7,96.66,16.5,4.4,0.505,1.0,42.21,1
3,26.5,91.67,74.0,4.4,7.0,15.4,23.1,52.1,93.78,7.0,1.87,0.512,1.0,70.68,1
3,26.5,91.67,74.0,4.4,1.8,3.96,5.94,12.9,23.22,1.8,0.48,0.507,1.0,17.28,1
3,26.5,91.67,74.0,4.4,9.0,19.8,29.7,55.1,99.18,9.0,2.4,0.506,1.0,69.48,1
3,26.5,91.67,74.0,4.4,8.2,18.04,27.06,33.9,61.02,8.2,2.19,0.501,1.0,33.96,1
3,26.5,91.67,74.0,4.4,3.8,8.36,12.54,19.3,34.74,3.8,1.01,0.505,1.0,22.2,1
3,26.5,91.67,74.0,4.4,2.5,5.5,8.25,9.5,17.1,2.5,0.67,0.493,1.0,8.85,1
3,26.5,91.67,74.0,4.4,0.6,1.32,1.98,1.9,3.42,0.6,0.16,0.472,0.984,1.44,1
3,26.5,91.67,74.0,4.4,4.1,9.02,13.53,12.5,22.5,4.1,1.09,0.495,1.0,8.97,1
3,26.5,91.67,74.0,4.4,13.5,29.7,44.55,56.2,101.16,13.5,3.6,0.511,1.0,56.61,1
3,26.5,91.67,74.0,4.4,21.9,48.18,72.27,69.5,125.1,21.9,5.84,0.509,1.0,52.83,1
3,26.5,91.67,74.0,4.4,6.2,13.64,20.46,36.6,65.88,6.2,1.65,0.508,1.0,45.42,1
3,26.5,91.67,74.0,4.4,12.6,27.72,41.58,54.3,97.74,12.6,3.36,0.505,1.0,56.16,1
3,26.5,91.67,74.0,4.4,8.5,18.7,28.05,26.0,46.8,8.5,2.27,0.501,1.0,18.75,1
3,26.5,91.67,74.0,4.4,3.1,6.82,10.23,12.0,21.6,3.1,0.83,0.504,1.0,11.37,1
3,26.5,91.67,74.0,4.4,11.2,24.64,36.96,42.6,76.68,11.2,2.99,0.504,1.0,39.72,1
3,26.5,91.67,74.0,4.4,11.8,25.96,38.94,94.8,170.64,11.8,3.15,0.511,1.0,131.7,1
3,26.5,91.67,74.0,4.4,23.9,52.58,78.87,102.2,183.96,23.9,6.37,0.51,1.0,105.09,1
3,26.5,91.67,74.0,4.4,9.7,21.34,32.01,98.0,176.4,9.7,2.59,0.512,1.0,144.39,1
3,26.5,91.67,74.0,4.4,9.5,20.9,31.35,84.0,151.2,9.5,2.53,0.512,1.0,119.85,1
3,26.5,91.67,74.0,4.4,7.9,17.38,26.07,42.7,76.86,7.9,2.11,0.509,1.0,50.79,1
3,26.5,91.67,74.0,4.4,10.0,22.0,33.0,45.8,82.44,10.0,2.67,0.513,1.0,49.44,1
3,26.5,91.67,74.0,4.4,6.8,14.96,22.44,23.8,42.84,6.8,1.81,0.501,1.0,20.4,1
3,26.5,91.67,74.0,4.4,5.6,12.32,18.48,12.4,22.32,5.6,1.49,0.497,1.0,3.84,1
3,26.5,91.67,74.0,4.4,3.7,8.14,12.21,5.6,10.08,3.7,0.99,0.473,0.986,0.0,1
3,26.5,91.67,74.0,4.4,7.8,17.16,25.74,24.9,44.82,7.8,2.08,0.493,1.0,19.08,1
3,26.5,91.67,74.0,4.4,21.3,46.86,70.29,166.0,298.8,21.3,5.68,0.515,1.0,228.51,1
3,26.5,91.67,74.0,4.4,7.9,17.38,26.07,74.9,134.82,7.9,2.11,0.513,1.0,108.75,1
3,26.5,91.67,74.0,4.4,17.0,37.4,56.1,157.9,284.22,17.0,4.53,0.515,1.0,228.12,1
3,26.5,91.67,74.0,4.4,28.7,63.14,94.71,165.0,297.0,28.7,7.65,0.513,1.0,202.29,1
3,26.5,91.67,74.0,4.4,15.9,34.98,52.47,52.6,94.68,15.9,4.24,0.51,1.0,42.21,1
3,26.5,91.67,74.0,4.4,4.0,8.8,13.2,9.0,16.2,4.0,1.07,0.5,1.0,3.0,1
3,26.5,91.67,74.0,4.4,1.5,3.3,4.95,6.1,10.98,1.5,0.4,0.498,1.0,6.03,1
3,26.5,91.67,74.0,4.4,0.7,1.54,2.31,1.9,3.42,0.7,0.19,0.48,1.0,1.11,1
3,26.5,91.67,74.0,4.4,0.8,1.76,2.64,2.2,3.96,0.8,0.21,0.466,0.971,1.32,1
3,26.5,91.67,74.0,4.4,0.1,0.22,0.33,0.3,0.54,0.1,0.03,0.442,0.92,0.21,1
3,26.5,91.67,74.0,4.4,0.7,1.54,2.31,1.5,2.7,0.7,0.19,0.427,0.889,0.39,1
3,26.5,91.67,74.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.409,0.853,0.0,1
